,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
8,Frankie Collins,ASU,PG,9,31.4,13.6,5.0,11.1,0.45,1.1,3.6,0.313,2.4,4.0,0.611,1.2,5.0,6.2,3.7,3.3,0.4,2.8,2.0
9,Alvaro Cardenas Torre,SJSU,PG,11,35.3,13.5,5.1,11.3,0.452,1.2,3.5,0.342,2.2,2.9,0.75,0.5,2.9,3.4,5.5,0.9,0.2,2.3,2.4
10,"Fred Cleveland, Jr.",NCCU,PG,10,28.0,13.5,4.9,11.6,0.422,1.8,5.7,0.316,1.9,2.1,0.905,0.5,2.5,3.0,4.5,1.5,0.1,3.1,1.3
11,Cobe Williams,TULSA,PG,8,29.3,13.5,4.1,11.4,0.363,1.8,5.8,0.304,3.5,5.0,0.7,0.1,2.3,2.4,3.3,2.6,0.4,3.1,3.0
12,Keyshaun Langley,UNCG,PG,8,28.0,13.4,4.1,10.3,0.402,1.8,5.1,0.341,3.4,3.9,0.871,0.6,3.1,3.8,3.0,1.6,0.1,0.9,1.9
13,Damari Wheeler-Thomas,NDSU,PG,11,31.4,13.4,4.6,9.9,0.468,0.9,2.4,0.385,3.2,3.7,0.854,0.1,2.6,2.7,3.2,0.8,0.0,1.2,2.6
14,Jahvon Quinerly,MEMP,PG,9,30.9,13.3,4.2,9.2,0.458,1.4,4.4,0.325,3.4,4.0,0.861,0.3,3.2,3.6,4.8,1.0,0.1,2.2,2.1
15,Shykeim Phillips,UNCW,PG,9,23.4,13.3,5.2,10.1,0.516,0.1,0.9,0.125,2.8,3.4,0.806,0.4,1.8,2.2,3.2,2.0,0.1,1.0,2.1
16,D.J. Horne,NCST,PG,9,30.2,13.3,4.7,11.6,0.404,2.3,6.1,0.382,1.7,2.2,0.75,0.4,2.3,2.8,2.7,1.2,0.0,0.3,1.6
17,Austin Benigni,USNA,PG,8,29.9,13.3,4.4,11.6,0.376,0.6,2.8,0.227,3.9,4.5,0.861,0.4,3.0,3.4,3.5,1.3,0.0,1.9,3.5
18,Braden Smith,PURD,PG,10,31.6,13.2,5.0,10.4,0.481,1.5,3.3,0.455,1.7,2.3,0.739,0.6,5.2,5.8,7.2,1.6,0.1,2.5,1.7
19,Isaiah Moses,UCR,PG,10,27.2,13.2,4.4,10.5,0.419,1.9,4.8,0.396,2.5,3.2,0.781,0.8,2.5,3.3,4.5,1.0,0.0,2.1,1.2
20,T.K. Simpkins,ELON,PG,10,24.7,13.2,4.1,9.2,0.446,0.8,2.8,0.286,4.2,6.7,0.627,0.9,3.7,4.6,2.2,1.8,0.5,1.9,1.4
21,Chuck Harris,SMU,PG,10,30.1,13.2,4.6,10.1,0.455,1.8,4.3,0.419,2.2,2.6,0.846,0.3,2.6,2.9,2.4,1.0,0.4,2.1,2.5
22,Arturo Dean,FIU,PG,11,29.2,13.2,5.5,12.9,0.423,1.1,3.2,0.343,1.2,2.1,0.565,0.8,3.5,4.3,4.9,4.3,0.1,4.2,2.4
23,Damarco Minor,SIUE,PG,11,34.2,13.1,4.5,12.3,0.37,1.0,3.1,0.324,3.0,3.5,0.846,1.2,8.1,9.3,2.6,1.1,0.3,1.7,1.9
24,Reed Sheppard,UK,PG,9,26.7,13.0,4.6,7.4,0.612,2.6,4.3,0.59,1.3,1.4,0.923,0.2,4.3,4.6,3.8,3.0,0.9,1.3,1.3
25,Jaeden Zackery,BOS,PG,11,32.5,13.0,4.7,9.8,0.481,0.5,2.0,0.273,3.0,3.6,0.825,0.7,2.6,3.4,4.6,2.1,0.1,1.5,2.0
26,Bowen Born,UNI,PG,10,28.6,13.0,4.5,12.0,0.375,2.2,6.5,0.338,1.8,1.9,0.947,0.6,2.4,3.0,2.0,1.1,0.0,1.1,2.1
27,Ben Johnson,BELL,PG,7,29.6,13.0,4.4,10.1,0.437,2.3,5.7,0.4,1.9,2.3,0.813,0.4,2.4,2.9,1.1,0.6,0.0,1.0,1.7
28,Emanuel Sharp,U of H,PG,10,22.6,12.9,3.6,9.0,0.4,2.0,5.5,0.364,3.7,4.6,0.804,1.0,2.3,3.3,1.2,1.3,0.1,1.0,1.4
29,Byron Joshua,ALCST,PG,9,28.4,12.9,4.2,13.1,0.322,1.1,3.3,0.333,3.3,3.9,0.857,0.7,2.2,2.9,3.2,1.3,0.0,2.8,2.4
30,Drew Lowder,CLEST,PG,11,29.5,12.8,4.5,12.5,0.365,2.7,7.6,0.357,1.0,1.5,0.647,0.5,2.2,2.7,2.7,1.2,0.1,1.2,1.9
31,Justin Bailey,USCU,PG,10,27.8,12.8,3.8,10.3,0.369,1.7,5.2,0.327,3.5,4.4,0.795,0.4,2.0,2.4,1.0,2.2,0.2,1.6,2.8
32,Nijel Pack,UMFL,PG,9,31.8,12.8,4.7,10.7,0.438,2.0,4.8,0.419,1.4,1.8,0.813,0.2,2.3,2.6,3.9,1.1,0.4,2.3,0.9
33,Brandon Betson,CSUS,PG,9,27.9,12.8,4.1,11.8,0.349,2.7,8.4,0.316,1.9,2.3,0.81,0.2,1.3,1.6,2.1,0.8,0.1,2.1,1.4
34,Quinton Morton-Robertson,IPFW,PG,11,29.4,12.7,4.1,8.5,0.479,2.6,5.5,0.483,1.9,2.2,0.875,0.3,2.5,2.7,2.9,1.8,0.0,1.0,1.4
35,Tony Perkins,IOWA,PG,10,28.2,12.7,4.2,10.3,0.408,0.8,2.4,0.333,3.5,4.6,0.761,1.3,3.3,4.6,2.6,1.4,0.5,1.5,1.6
36,Ryan Myers,WIU,PG,10,27.1,12.6,4.0,9.3,0.43,2.7,6.0,0.45,1.9,2.7,0.704,0.4,1.7,2.1,2.6,0.2,0.0,2.5,2.1
37,Drew Thelwell,MRHD,PG,10,32.3,12.5,4.0,8.4,0.476,1.8,4.7,0.383,2.7,3.4,0.794,0.5,2.0,2.5,4.0,0.8,0.3,2.2,0.5
38,Alex Schumacher,SEA,PG,10,28.3,12.5,4.0,10.7,0.374,0.4,3.2,0.125,4.1,5.2,0.788,0.4,3.1,3.5,4.9,1.3,0.1,2.8,2.1
39,"Brian Moore, Jr.",MRRY,PG,9,28.1,12.4,4.7,9.3,0.5,0.4,1.1,0.4,2.7,3.2,0.828,0.2,2.1,2.3,2.7,0.6,0.0,2.0,1.8
40,Kylan Boswell,ARZ,PG,8,26.9,12.4,4.5,9.0,0.5,2.6,5.0,0.525,0.8,0.8,1.0,0.6,2.5,3.1,4.8,1.3,0.1,1.9,1.3
41,Budd Clark,MERRI,PG,11,30.5,12.4,4.7,9.8,0.481,0.0,1.1,0.0,2.9,3.8,0.762,0.9,1.3,2.2,3.4,2.9,0.0,2.7,2.5
